Density(P/Km2);Birth Rate;Co2-Emissions;CPI;CPI Change (%);Fertility Rate;GDP;Infant mortality;Life expectancy;Maternal mortality ratio;Out of pocket health expenditure;Physicians per thousand;Population;Population: Labor force participation (%);Unemployment rate;
52;18,78;661,71;550,93;39,90%;2,14;4,45345E+11;12,4;76,5;16;39,70%;1,58;82913906;44,70%;11,38%;
93;29,08;190,061;119,86;0,40%;3,67;2,34094E+11;22,5;70,5;79;76,50%;0,71;39309783;43,00%;12,82%;
72;12,5;37,711;106,58;0,90%;1,75;3,88699E+11;3,1;82,3;5;15,20%;3,31;5007069;62,10%;4,93%;
400;20,8;65,166;108,15;0,80%;3,09;3,95099E+11;3;82,8;3;24,40%;4,62;9053300;64,00%;3,86%;
206;7,3;320,411;110,62;0,60%;1,29;2,00124E+12;2,6;82,9;2;22,80%;3,98;60297396;49,60%;9,89%;
273;16,1;8,225;162,47;3,90%;1,98;16458071068;12,4;74,4;80;23,70%;1,31;2948279;66,00%;8,00%;
347;7,4;1135,886;105,48;0,50%;1,42;5,08177E+12;1,8;84,2;5;13,10%;2,41;126226568;61,70%;2,29%;
115;21,98;25,108;125,6;0,80%;2,76;43743661972;13,9;74,4;46;25,10%;2,32;10101694;39,30%;14,72%;
7;21,77;247,207;182,75;5,20%;2,84;1,80162E+11;8,8;73,2;10;38,80%;3,25;18513930;68,80%;4,59%;
94;28,75;17,91;180,51;4,70%;3,49;95503088538;30,6;66,3;342;33,40%;0,16;52573973;74,70%;2,64%;
147;27,89;66;99,55;0,60%;3,57;194647202;41,2;68,1;92;0,20%;0,2;117606;62,70%;7,91%;
240;13,94;98,734;126,6;1,10%;2,08;1,34761E+11;6,7;75,4;12;14,40%;2,58;4207083;73,50%;2,18%;
34;27,1;9,787;155,68;1,10%;3,3;8454619608;16,9;71,4;60;48,20%;1,88;6456900;59,80%;6,33%;
32;23,55;17,763;135,87;3,30%;2,67;18173839128;37,6;67,6;185;45,40%;0,37;7169455;78,50%;0,63%;
30;10;7,004;116,86;2,80%;1,6;34117202555;3,3;74,7;19;41,60%;3,19;1912789;61,40%;6,52%;
667;17,55;24,796;130,02;3,00%;2,09;53367042272;6,4;78,9;29;32,10%;2,1;6855713;47,00%;6,23%;
71;26,81;2,512;155,86;5,20%;3,14;2460072444;65,7;53,7;544;16,90%;0,07;2125268;67,90%;23,41%;
53;33,04;1,386;223,13;23,60%;4,32;3070518100;53,5;63,7;661;19,60%;0,04;4937374;76,30%;2,81%;
4;18,83;50,564;125,71;2,60%;2,24;52076250948;10,2;72,7;72;36,70%;2,09;6777452;49,70%;18,56%;
238;9,9;51;125,34;2,30%;1,44;6552858739;21,33;83;53;33,12%;1,84;38019;62,70%;7,91%;
43;10;12,963;118,38;2,30%;1,63;54219315600;3,3;75,7;8;32,10%;6,35;2786844;61,60%;6,35%;
242;10,3;8,988;115,09;1,70%;1,37;71104919108;1,9;82,1;5;10,60%;3,01;645397;59,30%;5,36%;
48;32,66;3,905;184,33;5,60%;4,08;14083906357;38,2;66,7;335;21,70%;0,18;26969307;86,10%;1,76%;
203;34,12;1,298;418,34;9,40%;4,21;7666704427;35,3;63,8;349;11,00%;0,04;18628747;76,70%;5,65%;
99;16,75;248,289;121,46;0,70%;2;3,64702E+11;6,7;76;29;36,70%;1,51;32447385;64,30%;3,32%;
1,802;14,2;1,445;99,7;0,20%;1,87;5729248472;7,4;78,6;53;16,40%;4,56;530953;69,80%;6,14%;
17;41,54;3,179;108,73;-1,70%;5,88;17510141171;62;58,9;562;46,30%;0,13;19658031;70,80%;7,22%;
1,38;9,2;1,342;113,45;1,60%;1,23;14786156563;6,1;82,3;6;37,10%;2,86;502653;56,50%;3,47%;
329;29,03;143;125,34;2,30%;4,05;221278000;27,4;65,2;53;33,12%;0,42;58791;62,70%;7,91%;
5;33,69;2,739;135,02;2,30%;4,56;7593752450;51,5;64,7;766;48,20%;0,19;4525696;45,90%;9,55%;
626;10,2;4,349;129,91;0,40%;1,41;14180444557;13,6;74,4;61;50,70%;2,53;1265711;58,30%;6,67%;
66;17,6;486,406;141,54;3,60%;2,13;1,25829E+12;11;75;33;41,40%;2,38;126014024;60,70%;3,42%;
784;22,82;143;112,1;0,50%;3,05;401932279;25,6;67,8;88;2,50%;0,18;113815;62,70%;7,91%;
123;10,1;5,115;166,2;4,80%;1,26;11955435457;13,6;71,8;19;46,20%;3,21;2657637;43,10%;5,47%;
